links,dates,places,scores_exterieur,scores_domicile,domiciles,exterieurs,vainqueurs
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/dijon-bordeaux-live/477436,2021-03-14 15:00:00,Dijon,3,1,Dijon,Bordeaux,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/monaco-lille-live/477440,2021-03-14 17:05:00,Monaco,0,0,Monaco,Lille,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/psg-nantes-live/477442,2021-03-14 21:00:00,Paris,2,1,Paris-SG,Nantes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/asse-monaco-live/477453,2021-03-19 21:00:00,Saint-Étienne,4,0,Saint-Étienne,Monaco,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/metz-rennes-live/477449,2021-03-20 13:00:00,Metz,3,1,Metz,Rennes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nice-om-live/477452,2021-03-20 17:00:00,Nice,0,3,Nice,Marseille,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/strasbourg-lens-live/477454,2021-03-21 13:00:00,Strasbourg,2,1,Strasbourg,Lens,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/montpellier-bordeaux-live/477450,2021-03-21 15:00:00,Montpellier,1,3,Montpellier,Bordeaux,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/brest-angers-live/477445,2021-03-21 15:00:00,Brest,0,0,Brest,Angers,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/dijon-reims-live/477446,2021-03-21 15:00:00,Dijon,1,0,Dijon,Reims,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nantes-lorient-live/477451,2021-03-21 15:00:00,Nantes,1,1,Nantes,Lorient,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lille-nimes-live/477447,2021-03-21 17:05:00,Lille,2,1,Lille,Nîmes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/ol-psg-live/477448,2021-03-21 21:00:00,Lyon,4,2,Lyon,Paris-SG,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/monaco-metz-live/477460,2021-04-03 13:00:00,Monaco,0,4,Monaco,Metz,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/psg-lille-live/477463,2021-04-03 17:00:00,Paris,1,0,Paris-SG,Lille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lens-ol-live/477457,2021-04-03 21:00:00,Lens,1,1,Lens,Lyon,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-montpellier-live/477455,2021-04-04 13:00:00,Angers,1,1,Angers,Montpellier,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/reims-rennes-live/477464,2021-04-04 15:00:00,Reims,2,2,Reims,Rennes,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nantes-nice-live/477461,2021-04-04 15:00:00,Nantes,2,1,Nantes,Nice,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/bordeaux-strasbourg-live/477456,2021-04-04 15:00:00,Bordeaux,3,2,Bordeaux,Strasbourg,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lorient-brest-live/477458,2021-04-04 15:00:00,Lorient,0,1,Lorient,Brest,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nimes-asse-live/477462,2021-04-04 17:05:00,Nîmes,2,0,Nîmes,Saint-Étienne,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/om-dijon-live/477459,2021-04-04 21:00:00,Marseille,0,2,Marseille,Dijon,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/metz-lille-live/477468,2021-04-09 21:00:00,Metz,2,0,Metz,Lille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/strasbourg-psg-live/477474,2021-04-10 17:00:00,Strasbourg,4,1,Strasbourg,Paris-SG,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/montpellier-om-live/477470,2021-04-10 21:00:00,Montpellier,3,3,Montpellier,Marseille,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/rennes-nantes-live/477472,2021-04-11 13:00:00,Rennes,0,1,Rennes,Nantes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lens-lorient-live/477466,2021-04-11 15:00:00,Lens,1,4,Lens,Lorient,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nice-reims-live/477471,2021-04-11 15:00:00,Nice,0,0,Nice,Reims,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/asse-bordeaux-live/477473,2021-04-11 15:00:00,Saint-Étienne,1,4,Saint-Étienne,Bordeaux,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/brest-nimes-live/477465,2021-04-11 15:00:00,Brest,1,1,Brest,Nîmes,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/monaco-dijon-live/477469,2021-04-11 17:05:00,Monaco,0,3,Monaco,Dijon,domicile
